Cycle,Pair,Classification,MAE
40,GBPEUR,FORECASTABLE,0.007068103
40,GBPCHF,FORECASTABLE,0.013509158
40,GBPUSD,FORECASTABLE,0.015247341
40,EURUSD,UNDEFINED,0.031051531
40,USDCAD,UNDEFINED,0.044550131
40,EURCHF,UNDEFINED,0.055790364
40,EURCAD,UNDEFINED,0.070876003
40,USDCHF,NON FORECASTABLE,0.073261367
40,GBPCAD,NON FORECASTABLE,0.134025367
40,USDJPY,NON FORECASTABLE,0.269547682
,,,
50,GBPEUR,FORECASTABLE,0.007080661
50,GBPCHF,FORECASTABLE,0.013455659
50,GBPUSD,FORECASTABLE,0.015084714
50,EURUSD,UNDEFINED,0.031210396
50,USDCAD,UNDEFINED,0.044696811
50,EURCHF,UNDEFINED,0.055740508
50,EURCAD,UNDEFINED,0.070785385
50,USDCHF,NON FORECASTABLE,0.073067052
50,GBPCAD,NON FORECASTABLE,0.133973748
50,USDJPY,NON FORECASTABLE,0.269440787